CustomerID,Tenure,MonthlySpend,ContractType,SubscriptionPlan,LoginFrequency,SupportTickets,ChurnRisk,ChurnStatus
CUST_0,9,52.676711730779815,Monthly,Enterprise,9,1,-0.034383558653899055,0
CUST_1,8,29.845677302035444,Yearly,Basic,6,1,0.0787716134898228,0
CUST_2,16,82.26451618999566,Yearly,Enterprise,11,1,-0.17532258094997827,0
CUST_3,10,61.501892559889896,Yearly,Enterprise,14,1,-0.07750946279944942,0
CUST_4,10,13.30746068870366,Monthly,Basic,3,1,0.1634626965564817,0
CUST_5,10,99.61807295990143,Yearly,Premium,16,1,-0.2680903647995071,0
CUST_6,11,9.993718634170436,Yearly,Basic,6,1,0.1810314068291478,1
CUST_7,14,15.407598814863071,Two-Year,Basic,8,1,0.15696200592568466,0
CUST_8,11,37.2339815597418,Two-Year,Basic,11,1,0.044830092201291,0
CUST_9,9,48.54947312326557,Two-Year,Enterprise,9,1,-0.013747365616327861,0
CUST_10,12,132.35210824220684,Monthly,Premium,21,1,-0.4297605412110342,0
CUST_11,8,156.79299919504402,Yearly,Premium,19,1,-0.55596499597522,0
CUST_12,16,19.335860673846085,Monthly,Basic,6,1,0.13932069663076957,0
CUST_13,6,56.065405164313766,Monthly,Enterprise,19,1,-0.054327025821568786,0
CUST_14,15,23.21610950124476,Monthly,Basic,11,1,0.11891945249377622,0
CUST_15,15,18.866692951279585,Monthly,Basic,7,1,0.1406665352436021,0
CUST_16,16,30.02030762865637,Yearly,Basic,9,1,0.08589846185671816,0
CUST_17,14,69.7948701804058,Two-Year,Enterprise,8,1,-0.11497435090202895,0
CUST_18,7,57.45875992682069,Monthly,Enterprise,17,1,-0.06029379963410342,0
CUST_19,10,79.2923595773032,Yearly,Enterprise,17,1,-0.166461797886516,0
CUST_20,7,70.7467312154371,Yearly,Enterprise,15,1,-0.12673365607718545,0
CUST_21,13,133.32972360925896,Monthly,Premium,20,1,-0.4336486180462948,0
CUST_22,11,22.69348809773672,Yearly,Basic,6,1,0.11753255951131641,0
CUST_23,17,34.70384834752856,Monthly,Basic,9,1,0.06348075826235719,0
CUST_24,17,7.398871802411006,Yearly,Basic,4,1,0.200005640987945,0
CUST_25,10,58.64243291279644,Two-Year,Enterprise,10,1,-0.06321216456398215,0
CUST_26,10,46.80304865581128,Monthly,Enterprise,5,1,-0.004015243279056391,0
CUST_27,10,48.56169511433502,Yearly,Enterprise,10,1,-0.01280847557167511,0
CUST_28,11,18.3149783830634,Yearly,Basic,10,1,0.139425108084683,1
CUST_29,14,12.08734358534127,Monthly,Basic,6,1,0.17356328207329366,0
CUST_30,7,14.806115532458502,Two-Year,Basic,9,1,0.1529694223377075,0
CUST_31,7,35.203451323928945,Monthly,Basic,10,1,0.05098274338035527,0
CUST_32,11,83.65579849527052,Monthly,Enterprise,14,1,-0.18727899247635255,0
CUST_33,25,42.441913691650164,Monthly,Basic,11,1,0.03279043154174918,0
CUST_34,16,25.512293419391895,Yearly,Basic,6,1,0.10843853290304054,0
CUST_35,9,39.3436831832075,Two-Year,Basic,15,1,0.03228158408396248,0
CUST_36,15,76.71207966221333,Two-Year,Enterprise,14,1,-0.1485603983110666,0
CUST_37,15,9.627629093156143,Two-Year,Basic,4,1,0.1868618545342193,0
CUST_38,11,106.56024987664254,Yearly,Premium,14,1,-0.3018012493832127,0
CUST_39,13,53.75461112629447,Yearly,Enterprise,7,1,-0.035773055631472345,0
CUST_40,9,44.07304864249355,Two-Year,Basic,10,1,0.008634756787532227,0
CUST_41,10,6.426494919327652,Yearly,Basic,0,1,0.19786752540336175,1
CUST_42,9,185.03161664773734,Two-Year,Premium,25,1,-0.6961580832386867,0
CUST_43,8,30.599817049331644,Two-Year,Basic,6,1,0.0750009147533418,0
CUST_44,8,42.45952894742882,Monthly,Basic,8,1,0.015702355262855905,0
CUST_45,12,46.696266256868896,Monthly,Enterprise,11,1,-0.001481331284344467,0
CUST_46,18,76.21033953380886,Yearly,Enterprise,16,1,-0.1430516976690443,0
CUST_47,8,114.68287864298922,Monthly,Premium,17,1,-0.3454143932149461,0
CUST_48,10,39.91015330838445,Yearly,Basic,13,1,0.030449233458077735,0
CUST_49,11,109.53068591824284,Yearly,Premium,11,1,-0.3166534295912142,0
CUST_50,11,22.81556918923677,Two-Year,Basic,10,1,0.11692215405381616,0
CUST_51,9,81.41976083928299,Monthly,Enterprise,12,1,-0.17809880419641488,0
CUST_52,9,33.44130762953131,Monthly,Basic,14,1,0.06179346185234347,0
CUST_53,7,7.124644157038956,Yearly,Basic,6,1,0.19137677921480523,0
CUST_54,15,72.50769193958739,Monthly,Enterprise,8,1,-0.12753845969793692,0
CUST_55,7,2.756848899970773,Monthly,Basic,12,1,0.21321575550014615,0
CUST_56,12,43.11880605483716,Yearly,Basic,8,1,0.016405969725814207,0
CUST_57,12,18.57652589050054,Two-Year,Basic,4,1,0.1391173705474973,0
CUST_58,13,58.74481221842284,Yearly,Enterprise,12,1,-0.060724061092114145,0
CUST_59,12,98.41811346793739,Yearly,Premium,22,1,-0.26009056733968694,0
CUST_60,8,50.67212123427716,Monthly,Enterprise,8,1,-0.025360606171385774,0
CUST_61,21,82.38507506653343,Yearly,Enterprise,10,1,-0.1709253753326671,0
CUST_62,14,8.800415770836398,Yearly,Basic,5,1,0.189997921145818,0
CUST_63,7,73.71311582773865,Yearly,Enterprise,16,1,-0.14156557913869322,0
CUST_64,10,87.90128949134271,Monthly,Enterprise,11,1,-0.20950644745671354,0
CUST_65,11,18.893010203542467,Two-Year,Basic,7,1,0.13653494898228768,0
CUST_66,7,9.162542035626565,Yearly,Basic,4,1,0.1811872898218672,0
CUST_67,14,76.52179398793024,Yearly,Enterprise,14,1,-0.14860896993965117,0
CUST_68,16,7.046772803514963,Monthly,Basic,6,1,0.2007661359824252,0
CUST_69,11,12.890034675465923,Yearly,Basic,6,1,0.1665498266226704,0
CUST_70,10,22.372680982901194,Two-Year,Basic,7,1,0.11813659508549404,0
CUST_71,13,57.84773252694425,Two-Year,Enterprise,12,1,-0.056238662634721215,0
CUST_72,10,66.40085197493536,Two-Year,Enterprise,7,1,-0.10200425987467676,0
CUST_73,14,35.86311708070558,Yearly,Basic,12,1,0.05468441459647211,1
CUST_74,13,78.71265737280638,Monthly,Enterprise,13,1,-0.16056328686403187,0
CUST_75,6,1.0027482842478697,Monthly,Basic,6,1,0.22098625857876067,0
CUST_76,9,89.89350791839628,Two-Year,Enterprise,16,1,-0.2204675395919814,0
CUST_77,9,90.7266416188775,Yearly,Enterprise,8,1,-0.22463320809438742,0
CUST_78,6,11.725979697097188,Monthly,Basic,12,1,0.16737010151451406,0
CUST_79,14,8.109734890100937,Monthly,Basic,6,1,0.19345132554949532,0
CUST_80,10,243.81002448255714,Yearly,Premium,30,1,-0.9890501224127857,0
CUST_81,10,66.23837804774345,Monthly,Enterprise,9,1,-0.10119189023871722,0
CUST_82,10,62.63767815619462,Yearly,Enterprise,14,1,-0.08318839078097306,0
CUST_83,11,24.06808865117221,Yearly,Basic,9,1,0.11065955674413895,0
CUST_84,19,37.962599321832734,Yearly,Basic,8,1,0.049187003390836315,0
CUST_85,7,53.52923186353088,Yearly,Enterprise,7,1,-0.04064615931765439,0
CUST_86,10,31.607815249422583,Yearly,Basic,9,1,0.0719609237528871,0
CUST_87,13,67.94889054835059,Monthly,Enterprise,8,1,-0.10674445274175293,0
CUST_88,17,73.31408155920298,Yearly,Enterprise,13,1,-0.12957040779601486,0
CUST_89,11,86.05291721860509,Two-Year,Enterprise,11,1,-0.1992645860930254,0
CUST_90,13,18.018650419608875,Yearly,Basic,7,1,0.14290674790195562,1
CUST_91,13,74.65499127957894,Monthly,Enterprise,16,1,-0.14027495639789467,0
CUST_92,16,58.4560631614798,Yearly,Enterprise,12,1,-0.05628031580739895,0
CUST_93,15,54.54534521525306,Yearly,Enterprise,14,1,-0.03772672607626529,0
